alpha_4,alpha_5,alpha_6,chi_squared
-2.5,3.5,0.5,338.7017575081974
-2.5,3.5,1.125,386.460775973439
-2.5,3.5,1.75,3300.526410428527
-2.5,3.5,2.375,36716.844650954976
-2.5,3.5,3.0,239908.67989191544
-2.5,4.0,0.5,403.5090813865662
-2.5,4.0,1.125,505.3695544698552
-2.5,4.0,1.75,5638.728254847119
-2.5,4.0,2.375,63666.098972396045
-2.5,4.0,3.0,415412.65994922904
-2.5,4.5,0.5,477.5708002279273
-2.5,4.5,1.125,671.9565113953203
-2.5,4.5,1.75,9402.676506855343
-2.5,4.5,2.375,107094.99970601768
-2.5,4.5,3.0,697954.4741246369
-2.5,5.0,0.5,560.1109275498217
-2.5,5.0,1.125,906.105098621872
-2.5,5.0,1.75,15317.185540374867
-2.5,5.0,2.375,175381.48862909304
-2.5,5.0,3.0,1141885.0373079618
-2.0,-5.0,0.5,460.99918010779345
-2.0,-5.0,1.125,460.9990571205881
-2.0,-5.0,1.75,460.9984357659845
-2.0,-5.0,2.375,460.99664326621115
-2.0,-5.0,3.0,460.99271502101453
-2.0,-4.5,0.5,383.02598012856913
-2.0,-4.5,1.125,383.02597230360743
-2.0,-4.5,1.75,383.02593276932004
-2.0,-4.5,2.375,383.02581870947506
-2.0,-4.5,3.0,383.0255686948791
-2.0,-4.0,0.5,314.621178427
-2.0,-4.0,1.125,314.61913906781876
-2.0,-4.0,1.75,314.6088406209643
-2.0,-4.0,2.375,314.5791761341195
-2.0,-4.0,3.0,314.5143991861705
-2.0,-3.5,0.5,255.70347409859676
